word,type
Fer,a. & adv.
Fer-de-lance,n.
Feracious,a.
Feracity,n.
Ferae naturae,
Ferae,n. pl.
Feral,a.
Ferde,
Ferding,n.
Ferdness,n.
Fere,a.
Fere,n.
Fere,v. t. & i.
Feretory,n.
Ferforth,adv.
Ferforthly,adv.
Fergusonite,n.
Feria,n.
Feriae,pl. 
Ferial,a.
Ferial,n.
Feriation,n.
Ferie,n.
Ferier,a.
Ferine,a.
Ferine,n.
Feringee,n.
Ferity,n.
Ferly,n.
Ferm,n.
Fermacy,n.
Ferme,n.
Ferment,n.
Ferment,v. i.
Fermentability,n.
Fermentable,a.
Fermental,a.
Fermentation,n.
Fermentative,a.
Fermented,imp. & p. p.
Fermenting,p. pr. & vb. n.
Fermerere,n.
Fermillet,n.
Fern,a.
Fern,adv.
Fern,n.
Fernery,n.
Fernticle,n.
Ferny,a.
Ferocious,a.
Ferocity,n.
Feroher,n.
Ferous,a.
Ferrandine,n.
Ferrara,n.
Ferrarese,a.
Ferrarese,n., sing. & pl.
Ferrary,n.
Ferrate,n.
Ferre,a. & adv.
Ferreous,a.
Ferrer,a. & adv.
Ferrest,a. & adv.
Ferret,n.
Ferret-eye,n.
Ferreted,imp. & p. p.
Ferreter,n.
Ferreting,p. pr. & vb. n.
Ferretto,n.
Ferri-,
Ferriage,n.
Ferric,a.
Ferricyanate,n.
Ferricyanic,a.
Ferricyanide,n.
Ferried,imp. & p. p.
Ferrier,n.
Ferries,pl. 
Ferriferous,a.
Ferriprussiate,n.
Ferriprussic,a.
Ferro-,
Ferrocalcite,n.
Ferrocyanate,n.
Ferrocyanic,a.
Ferrocyanide,n.
Ferroprussiate,n.
Ferroprussic,a.
Ferroso-,
Ferrotype,n.
Ferrous,a.
Ferruginated,a.
Ferrugineous,a.
Ferruginous,a.
Ferrugo,n.
Ferrule,n.
Ferruminate,v. t.
Ferrumination,n.
Ferry,v. i.
Ferry,v. t.
Ferryboat,n.
Ferrying,p. pr. & vb. n.
Ferryman,n.
Ferrymen,pl. 
Fers,a.
Ferthe,a.
Fertile,a.
Fertilely,adv.
Fertilitate,v. t.
Fertility,n.
Fertilization,n.
Fertilize,v. t.
Fertilized,imp. & p. p.
Fertilizer,n.
Fertilizing,p. pr. & vb. n.
Ferula,n.
Ferulaceous,a.
Ferular,n.
Ferule,n.
Ferule,v. t.
Feruled,imp. & p. p.
Ferulic,a.
Feruling,p. pr. & vb. n.
Fervence,n.
Fervency,n.
Fervent,a.
Fervescent,a.
Fervid,a.
Fervor,n.
Fescennine,a.
Fescennine,n.
Fescue,n.
Fescue,v. i. & t.
Fescued,imp. & p. p.
Fescuing,p. pr. & vb. n.
Fesels,n. pl.
Fess,n.
Fesse,n.
Fessitude,n.
Fesswise,adv.
Fest,n.
Festal,a.
Festally,adv.
Feste,n.
Festennine,n.
Fester,n.
Fester,v. t.
Festered,imp. & p. p.
Festering,p. pr. & vb. n.
Festerment,n.
Festeye,v. t.
Festi-val,n.
Festinate,a.
Festination,n.
Festival,a.
Festive,a.
Festivities,pl. 
Festivity,n.
Festivous,a.
Festlich,n.
Festoon,n.
Festoon,v. t.
Festooned,imp. & p. p.
Festooning,p. pr. & vb. n.
Festoony,a.
Festucine,a.
Festucous,a.
Festue,n.
Fet,n.
Fet,p. p.
Fet,v. t.
Fetal,a.
Fetation,n.
Fetch,n.
Fetch,v. t.
Fetched,imp. & p. p.
Fetching,p. pr. & vb. n.
Fete,n. pl.
Fete,n.
Fete,v. t.
Feted,imp. & p. p.
Fethcer,n.
Fetich,n.
Fetichist,n.
Fetichistic,a.
Feticide,n.
Feticism,n.
Fetid,a.
Fetidity,n.
Fetidness,n.
Fetiferous,a.
Feting,p. pr. & vb. n.
Fetis,a.
Fetisely,adv.
Fetish,a.
Fetish,n.
Fetishism,a.
Fetishism,n.
Fetishist,n.
Fetishistic,a.
Fetlock,n.
Fetor,n.
Fette,imp.
Fette,v. t.
Fetter,n.
Fetter,p. pr. & vb. n.
Fettered,a.
Fetterer,n.
Fetterless,a.
Fettle,a.
Fettle,n.
Fettle,v. i.
Fettling,n.
Fetuous,a.
Fetus,n.
Fetuses,pl. 
Fetwah,n.
Feu de joie,
Feu,n.
Feuar,n.
Feud,n.
Feudal,a.
Feudalism,n.
Feudalist,n.
Feudality,n.
Feudalize,v. t.
Feudalized,imp. & p. p.
Feudalizing,p. pr. & vb. n.
Feudally,adv.
Feudary,a.
Feudary,n.
Feudataty,a. & n.
Feudatories,pl. 
Feudatory,n.
Feudist,n.
Feudtory,a.
Feuillants,n. pl.
Feuillemort,a.
Feuilleton,n.
Feuilltonist,n.
Feuterer,n.
Fever,n.
Fever,v. t.
Fevered,imp. & p. p.
Feveret,n.
Feverfew,n.
Fevering,p. pr. & vb. n.
Feverish,a.
Feverous,a.
Feverously,adv.
Feverwort,n.
Fevery,a.
Few,superl.
Fewel,n.
Fewmet,n.
Fewness,n.
Fey,a.
Fey,n.
Fey,v. t.
Feyne,v. t.
Feyre,n.
Fez,n.
Fiacre,n.
Fiance,n.
Fiance,v. t.
Fiancee,n.
Fiants,n.
Fiar,n.
Fiasco,n.
Fiascoes,pl. 
Fiat,n.
Fiaunt,n.
Fib,n.
Fib,v. i.
Fib,v. t.
Fibbed,imp. & p. p.
Fibber,n.
Fibbing,p. pr. & vb. n.
Fiber,n.
Fiber-faced,a.
Fibered,a.
Fiberless,a.
Fibre,n.
Fibre-faced,a.
Fibred,a.
Fibreless,a.
Fibriform,a.
Fibril,n.
FibrillAe,pl. 
Fibrilla,n.
Fibrillar,a.
Fibrillary,a.
Fibrillated,a.
Fibrillation,n.
Fibrillose,a.
Fibrillous,a.
Fibrin,n.
Fibrination,n.
Fibrine,a.
Fibrinogen,n.
Fibrinogenous,a.
Fibrinoplastic,a.
Fibrinoplastin,n.
Fibrinous,a.
Fibrocartilage,n.
Fibrochondrosteal,a.
Fibroid,a.
Fibroid,n.
Fibroin,n.
Fibrolite,n.
Fibroma,n.
Fibrospongiae,n. pl.
Fibrous,a.
Fibrovascular,a.
Fibster,n.
Fibu-lar,a.
FibulAe,pl. 
Fibula,n.
Fibulare,n.
Fibularia,pl. 
Fice,n.
Fiche,a.
Fichu,n.
Fickle,a.
Fickleness,n.
Fickly,adv.
Fico,n.
Ficoes,pl. 
Fictile,a.
Fiction,n.
Fictional,a.
Fictionist,n.
Fictious,a.
Fictitious,a.
Fictive,a.
Fictor,n.
Ficttelite,n.
Ficus,n.
Fid,n.
Fidalgo,n.
Fiddle,n.
Fiddle,v. i.
Fiddle,v. t.
Fiddle-faddle,v. i.
Fiddle-shaped,a.
Fiddled,imp. & p. p.
Fiddledeedee,interj.
Fiddler,n.
Fiddlestick,n.
Fiddlestring,n.
Fiddlewood,n.
Fiddling,p. pr. & vb. n.
Fidejussion,n.
Fidejussor,n.
Fidelity,n.
Fides,n.
Fidge,n. & i.
Fidget,n.
Fidget,v. i.
Fidgeted,imp. & p. p.
Fidgetiness,n.
Fidgety,a.
Fidia,n.
Fidiciary,a.
Fidicinal,a.
Fiducial,a.
Fiducially,adv.
Fiduciary,n.
Fie,interj.
Fief,n.
Field,n.
Field,v. i.
Field,v. t.
Fielded,a.
Fielded,imp. & p. p.
Fielden,a.
Fielder,n.
Fieldfare,n.
Fielding,n.
Fielding,p. pr. & vb. n.
Fieldpiece,n.
Fieldwork,n.
Fieldy,a.
Fiend,n.
Fiendful,a.
Fiendish,a.
Fiendlike,a.
Fiendly,a.
Fierasfer,n.
Fierce,superl.
Fieri facias,
Fieriness,n.
Fiery,a.
Fife,n.
Fife,v. i.
Fifed,imp. & p. p.
Fifer,n.
Fifteen,a.
Fifteen,n.
Fifteenth,a.
Fifteenth,n.
Fifth,a.
Fifth,n.
Fifthly,adv.
Fifties,pl. 
Fiftieth,a.
Fiftieth,n.
Fifty,a.
Fifty,n.
Fig,n.
Fig-shell,n.
Figaro,n.
Figary,n.
Figeater,n.
Figent,a.
Figgum,n.
Fight,v. i.
Fight,v. t.
Fighter,n.
Fighting,a.
Fighting,p. pr. & vb. n.
Fightingly,adv.
Fightwite,n.
Figment,n.
Figulate,a.
Figulated,a.
Figuline,n.
Figurability,n.
Figurable,a.
Figural,a.
Figurant,n. masc.
Figurante,n. fem.
Figurate,a.
Figurated,a.
Figurately,adv.
Figuration,n.
Figurative,a.
Figure,n.
Figure,v. t.
Figured,a.
Figured,imp. & p. p.
Figurehead,n.
Figurial,a.
Figurine,n.
Figuring,p. pr. & vb. n.
Figurist,n.
Figwort,n.
Fijian,a.
Fijian,n.
Fike,n.
Fil,
Filaceous,a.
Filacer,n.
Filament,n.
Filamentary,a.
Filamentous,a.
Filametoid,a.
Filander,n.
Filanders,n. pl.
Filar,a.
Filaria,n.
Filatory,n.
Filature,n.
Filbert,n.
Filch,v. t.
Filched,imp. & p. p.
Filcher,n.
Filching,p. pr. & vb. n.
Filchingly,adv.
File,n.
File,v. i.
File,v. t.
Filed,imp. & p. p.
Filefish,n.
Filemot,n.
Filer,n.
Filial,a.
Filially,adv.
Filiate,v. t.
Filiation,n.
Filibeg,n.
Filibuster,n.
Filibuster,v. i.
Filibustering,p. pr. & vb. n.
Filibusterism,n.
Filical,a.
Filicic,a.
Filicide,n.
Filiciform,a.
Filicoid,a.
Filicoid,n.
Filiety,n.
Filiferous,a.
Filiform,a.
Filigrain,n.
Filigrane,n.
Filigraned,a.
Filigree,a.
Filigree,n.
Filigreed,a.
Filing,n.
Filing,p. pr. & vb. n.
Filipendulous,a.
Fill,a.
Fill,n.
Fill,v. i.
Fill,v. t.
Filled,imp. & p. p.
Filler,n.
Fillet,n.
Fillet,v. t.
Filleted,imp. & p. p.
Filleting,n.
Filleting,p. pr. & vb. n.
Fillibeg,n.
Fillibuster,n.
Fillibustered,imp. & p. p.
Fillies,pl. 
Filling,n.
Filling,p. pr. & vb. n.
Fillip,n.
Fillip,v. t.
Filliped,imp. & p. p.
Fillipeen,n.
Filliping,p. pr. & vb. n.
Fillister,n.
Filly,n.
Film,n.
Film,v. t.
Filminess,n.
Filmy,a.
Filoplumaceous,a.
Filoplume,n.
Filose,a.
Filter,n.
Filter,v. i.
Filtered,imp. & p. p.
Filtering,p. pr. & vb. n.
Filth,n.
Filthily,adv.
Filthiness,n.
Filthy,superl.
Filtrate,n.
Filtrate,v. t.
Filtrated,imp. & p. p.
Filtrating,p. pr. & vb. n.
Filtration,n.
Fimble hemp,
Fimbria,n.
Fimbriae,pl. 
Fimbriate,a.
Fimbriate,v. t.
Fimbriated,a.
Fimbriated,imp. & p. p.
Fimbriating,p. pr. & vb. n.
Fimbricate,a.
Fin,n.
Fin,v. t.
Fin-footed,a.
Fin-toed,a.
Finable,a.
Final,a.
Finale,n.
Finalities,pl. 
Finality,n.
Finally,adv.
Finance,n.
Financial,a.
Financialist,n.
Financially,adv.
Financier,n.
Financier,v. i.
Financiered,imp. & p. p.
Financiering,p. pr. & vb. n.
Finary,n.
Finative,a.
Finback,n.
Finble,
Finch,n.
Finchbacked,a.
Finched,a.
Find,n.
Find,v. i.
Find,v. t.
Findable,a.
Finder,n.
Findfault,n.
Findfaulting,a.
Finding,n.
Finding,p. pr. & vb. n.
Findy,a.
Fine,a.
Fine,n.
Fine,superl.
Fine,v. i.
Fine,v. t.
Fined,imp. & p. p.
Finedraw,v. t.
Finedrawer,n.
Finedrawing,p. pr. & vb. n.
Finedrawn,a.
Finedrawn,imp. & p. p.
Fineer,v. i.
Fineer,v. t.
Fineless,a.
Finely,adv.
Fineness,a.
Finer,n.
Finery,n.
Finespun,a.
Finesse,a.
Finesse,v. i.
Finessed,imp. & p. p.
Finessing,p. pr. & vb. n.
Finestill,v. t.
Finestiller,n.
Finew,n.
Finfish,n.
Finfoot,n.
Finger,n.
Finger,v. i.
Finger,v. t.
Fingered,a.
Fingered,imp. & p. p.
Fingerer,n.
Fingering,n.
Fingering,p. pr. & vb. n.
Fingerling,n.
Fingle-fangle,n.
Fingrigo,n.
Fingrigos,pl. 
Finial,n.
Finical,a.
Finicality,n.
Finicking,a.
Finicky,a.
Finific,n.
Finify,a.
Finikin,a.
Fining,n.
Fining,p. pr. & vb. n.
Finis,n.
Finish,n.
Finish,v. i.
Finish,v. t.
Finished,a.
Finished,imp. & p. p.
Finisher,n.
Finishing,a.
Finishing,n.
Finishing,p. pr. & vb. n.
Finite,a.
Finiteless,a.
Finitely,adv.
Finiteness,n.
Finitude,n.
Finlander,n.
Finless,a.
Finlet,n.
Finlike,a.
Finn,a.
Finnan haddie,
Finned,a.
Finned,imp. & p. p.
Finner,n.
Finnic,a.
Finnikin,n.
Finning,p. pr. & vb. n.
Finnish,a.
Finnish,n.
Finns,n. pl.
Finny,a.
Finochio,n.
Finos,n. pl.
Finpike,n.
Fint,
Fiord,n.
Fiorin,n.
Fiorite,n.
Fioriture,n. pl.
Fippenny bit,
Fipple,n.
Fir tree,
Fir,n.
Fire beetle,
Fire,n.
Fire,v. i.
Fire,v. t.
Fire-fanged,a.
Fire-new,a.
Fire-set,n.
Firearm,n.
Fireback,n.
Fireball,n.
Firebare,n.
Firebird,n.
Fireboard,n.
Firebote,n.
Firebrand,n.
Firecracker,n.
Firecrest,n.
Fired,imp. & p. p.
Firedog,n.
Firedrake,n.
Firefish,n.
Fireflaire,n.
Fireflame,n.
Fireflies,pl. 
Firefly,n.
Fireless,a.
Firelock,n.
Fireman,n.
Firemen,pl. 
Fireplace,n.
Fireproof,a.
Fireprrofing,n.
Firer,n.
Fireside,n.
Firestone,n.
Firetail,n.
Firewarden,n.
Fireweed,n.
Firewood,n.
Firework,n.
Fireworm,n.
Firing,n.
Firk,n.
Firk,v. i.
Firk,v. t.
Firkin,n.
Firlot,n.
Firm,a.
Firm,superl.
Firmament,v. & a.
Firmamental,a.
Firman,n.
Firmans,pl. 
Firmer-chisel,n.
Firmitude,n.
Firmity,n.
Firmless,a.
Firmly,adv.
Firmness,n.
Firms,a.
Firring,n.
Firry,a.
First,a.
First,adv.
First,n.
First-class,a.
First-hand,a.
First-rate,a.
First-rate,n.
Firstborn,a.
Firstling,a.
Firstling,n.
Firstly,adv.
Firth,n.
Fisc,n.
Fiscal,a.
Fiscal,n.
Fisetic,a.
Fisetin,n.
Fish,n.
Fish,pl. 
Fish,v. i.
Fish,v. t.
Fish-bellied,a.
Fish-block,n.
Fish-tackle,n.
Fish-tail,a.
Fished,imp. & p. p.
Fisher,n.
Fisheries,pl. 
Fisherman,n.
Fishermen,pl. 
Fishery,n.
Fishes,pl. 
Fishful,a.
Fishgig,n.
Fishhawk,n.
Fishhook,n.
Fishify,v. t.
Fishiness,n.
Fishing,n.
Fishing,p. pr. & vb. n.
Fishlike,a.
Fishmonger,n.
Fishskin,n.
Fishwife,n.
Fishwoman,n.
Fishwomen,pl. 
Fishy,a.
Fisk,v. i.
Fissigemmation,n.
Fissile,a.
Fissilingual,a.
Fissilinguia,n. pl.
Fissility,n.
Fission,n.
Fissipalmate,a.
Fissipara,n. pl.
Fissiparism,n.
Fissiparity,n.
Fissiparous,a.
Fissipation,n.
Fissiped,a.
Fissiped,n.
Fissipedal,a.
Fissipedia,n. pl.
Fissirostral,a.
Fissirostres,n. pl.
Fissural,a.
Fissuration,n.
Fissure,n.
Fissure,v. t.
Fissurella,n.
Fist,n.
Fist,v. t.
Fisted,imp. & p. p.
Fistic,a.
Fisticuff,n.
Fisting,p. pr. & vb. n.
Fistinut,n.
Fistuca,n.
Fistula,n.
Fistulae,pl. 
Fistular,a.
Fistularia,n.
Fistularioid,a.
Fistulate,v. t. & i.
Fistule,n.
Fistuliform,a.
Fistulose,a.
Fistulous,a.
Fit,
Fit,n.
Fit,superl.
Fit,v. i.
Fit,v. t.
Fitch,n.
Fitche,a.
Fitched,a.
Fitches,pl. 
Fitchet,n.
Fitchew,n.
Fitchy,a.
Fitful,a.
Fithel,n.
Fithul,n.
Fitly,adv.
Fitment,n.
Fitness,n.
Fitt,n.
Fittable,a.
Fitted,imp. & p. p.
Fittedness,n.
Fitter,n.
Fitting,a.
Fitting,n.
Fitting,p. pr. & vb. n.
Fitweed,n.
Fitz,n.
Five,a.
Five,n.
Five-finger,n.
Five-leaf,n.
Five-leafed,a.
Five-leaved,a.
Five-twenties,n. pl.
Fivefold,a. & adv.
Fiveling,n.
Fives,n. pl.
Fives,n.
Fix,a.
Fix,n.
Fix,v. i.
Fix,v. t.
Fixable,a.
Fixation,n.
Fixative,n.
Fixed,a.
Fixed,imp. & p. p.
Fixedly,adv.
Fixedness,n.
Fixidity,n.
Fixing,n.
Fixing,p. pr. & vb. n.
Fixity,n.
Fixture,n.
Fixure,n.
Fizgig,n.
Fizz,n.
Fizz,v. i.
Fizzed,imp. & p. p.
Fizzing,p. pr. & vb. n.
Fizzle,n.
Fizzle,v. i.
Fizzled,imp. & p. p.
Fizzling,p. pr. & vb. n.
Fjord,n.
Flabbergast,v. t.
Flabbergastation,n.
Flabbily,adv.
Flabbiness,n.
Flabby,a.
Flabel,n.
Flabellate,a.
Flabellation,n.
Flabelliform,a.
Flabellinerved,a.
Flabellum,n.
Flabile,a.
Flaccid,a.
Flaccidity,n.
Flacker,v. i.
Flacket,n.
Flag,n.
Flag,v. i.
Flag,v. t.
Flagella,pl. 
Flagellant,n.
Flagellata,v. t.
Flagellate,a.
Flagellate,v. t.
Flagellated,imp. & p. p.
Flagellating,p. pr. & vb. n.
Flagellation,n.
Flagellator,n.
Flagelliform,a.
Flagellum,v. t.
Flagellums,pl. 
Flageolet,n.
Flagged,imp. & p. p.
Flagginess,n.
Flagging,a.
Flagging,n.
Flagging,p. pr. & vb. n.
Flaggy,a.
Flagitate,v. t.
Flagitation,n.
Flagitious,a.
Flagman,n.
Flagmen,pl. 
Flagon,n.
Flagrance,n.
Flagrancies,pl. 
Flagrancy,n.
Flagrant,a.
Flagrantly,adv.
Flagrate,v. t.
Flagration,n.
Flagship,n.
Flagstaff,n.
Flagstone,n.
Flagworm,n.
Flail,n.
Flaily,a.
Flain,
Flake,n.
Flake,v. i.
Flake,v. t.
Flaked,imp. & p. p.
Flakiness,n.
Flaking,p. pr. & vb. n.
Flaky,a.
Flam,n.
Flam,v. t.
Flambeau,n.
Flambeaus,pl. 
Flambeaux,pl. 
Flamboyant,a.
Flamboyer,n.
Flame,n.
Flame,v. t.
Flame-colored,a.
Flamed,imp. & p. p.
Flameless,a.
Flamelet,n.
Flamen,n.
Flamineous,a.
Flamines,pl. 
Flaming,a.
Flaming,p. pr. & vb. n.
Flamingly,adv.
Flamingo,n.
Flamingoes,pl. 
Flaminical,a.
Flammability,n.
Flammable,a.
Flammation,n.
Flammed,imp. & p. p.
Flammens,pl. 
Flammeous,a.
Flammiferous,a.
Flamming,p. pr. & vb. n.
Flammivomous,a.
Flammulated,a.
Flamy,a.
Flanch,n.
Flanched,a.
Flanches,pl. 
Flanconade,n.
Flaneur,n.
Flang,n.
Flange,n.
Flange,v. i.
Flange,v. t.
Flanged,a.
Flanged,imp. & p. p.
Flanging,p. pr. & vb. n.
Flank,n.
Flank,v. i.
Flank,v. t.
Flanked,imp. & p. p.
Flanker,n.
Flanker,v. t.
Flankered,imp. & p. p.
Flankering,p. pr. & vb. n.
Flanking,p. pr. & vb. n.
Flannel,n.
Flanneled,a.
Flannen,a.
Flap,n.
Flap,v. i.
Flap,v.
Flap-eared,a.
Flap-mouthed,a.
Flapdragon,n.
Flapdragon,v. t.
Flapjack,n.
Flapped,imp. & p. p.
Flapper,n.
Flapping,p. pr. & vb. n.
Flare,n.
Flare,v. i.
Flare-up,n.
Flared,imp. & p. p.
Flaring,a.
Flaring,p. pr. & vb. n.
Flaringly,adv.
Flash,a.
Flash,n.
Flash,v. i.
Flash,v. t.
Flashboard,n.
Flashed,imp. & p. p.
Flasher,n.
Flashes,pl. 
Flashily,adv.
Flashiness,n.
Flashing,n.
Flashing,p. pr. & vb. n.
Flashy,a.
Flask,n.
Flasket,n.
Flat foot,
Flat,adv.
Flat,n.
Flat,superl.
Flat,v. i.
Flat,v. t.
Flat-bottomed,a.
Flat-cap,n.
Flat-footed,a.
Flat-headed,a.
Flatbill,n.
Flatboat,n.
Flatfish,n.
Flathead,a.
Flathead,n.
Flating,a.
Flatiron,n.
Flative,a.
Flatlency,n.
Flatlong,adv.
Flatly,adv.
Flatness,n.
Flatour,n.
Flatted,imp. & p. p.
Flatten,a.
Flatten,v. i.
Flattened,imp. & p. p.
Flattening,p. pr. & vb. n.
Flatter,n.
Flatter,v. i.
Flatter,v. t.
Flattered,imp. & p. p.
Flatterer,n.
Flatteries,pl. 
Flattering,a.
Flattering,p. pr. & vb. n.
Flatteringly,adv.
Flattery,v. t.
Flatting,n.
Flatting,p. pr. & vb. n.
Flattish,a.
Flatulence,n.
Flatulent,a.
Flatulently,adv.
Flatuosity,n.
Flatuous,a.
Flatus,n.
Flatus,pl. 
Flatuses,pl. 
Flatware,n.
Flatwise,a. / adv.
Flatworm,n.
Flaundrish,a.
Flaunt,n.
Flaunt,v. i.
Flaunt,v. t.
Flaunted,imp. & p. p.
Flaunting,p. pr. & vb. n.
Flauntingly,adv.
Flautist,n.
Flauto,n.
Flavaniline,n.
Flavescent,a.
Flavicomous,a.
Flavin,n.
Flavine,n.
Flavol,n.
Flavor,n.
Flavor,v. t.
Flavored,a.
Flavored,imp. & p. p.
Flavoring,p. pr. & vb. n.
Flavorles,a.
Flavorous,a.
Flavous,a.
Flaw,n.
Flaw,v. t.
Flawed,imp. & p. p.
Flawing,p. pr. & vb. n.
Flawless,a.
Flawn,n.
Flawter,v. t.
Flawy,a.
Flax,n.
Flax-plant,n.
Flaxen,a.
Flaxseed,n.
Flaxweed,n.
Flaxy,a.
Flay,v. t.
Flayed,imp. & p. p.
Flayer,n.
Flaying,p. pr. & vb. n.
Flea,n.
Flea,v. t.
Flea-beetle,n.
Flea-bite,n.
Flea-bitten,a.
Flea-louse,n.
Fleabane,n.
Fleagh,
Fleak,n.
Fleaking,n.
Fleam,n.
Fleamy,a.
Flear,n.
Flear,v. t. & i.
Fleawort,n.
Fleche,n.
Fleck,n.
Flecked,imp. & p. p.
Flecker,v. t.
Flecking,p. pr. & vb. n.
Fleckless,a.
Flection,n.
Flectional,a.
Flector,n.
Fled,
Fled,imp. & p. p.
Fledge,v. i.
Fledge,v. t. & i.
Fledged,imp. & p. p.
Fledgeling,n.
Fledging,p. pr. & vb. n.
Flee,v. i.
Fleece,n.
Fleece,v. t.
Fleeced,a.
Fleeced,imp. & p. p.
Fleeceless,a.
Fleecer,n.
Fleecing,p. pr. & vb. n.
Fleecy,a.
Fleeing,p. pr. & vb. n.
Fleen,n. pl.
Fleer,
Fleer,n.
Fleer,v. t.
Fleered,imp. & p. p.
Fleerer,n.
Fleering,p. pr. & vb. n.
Fleeringly,adv.
Fleet,n. & a.
Fleet,v. i.
Fleet,v. t.
Fleet-foot,a.
Fleeted,imp. & p. p.
Fleeten,n.
Fleeting,a.
Fleeting,p. pr. & vb. n.
Fleetingly,adv.
Fleetings,n. pl.
Fleetly,adv.
Fleetness,n.
Fleigh,
Fleme,v. t.
Flemer,n.
Fleming,n.
Flemish,a.
Flemish,n.
Flench,v. t.
Flense,v. t.
Flesh,n.
Flesh,v. t.
Fleshed,a.
Fleshed,imp. & p. p.
Flesher,n.
Fleshhood,n.
Fleshiness,n.
Fleshing,n.
Fleshing,p. pr. & vb. n.
Fleshings,n. pl.
Fleshless,a.
Fleshliness,n.
Fleshly,a.
Fleshly,adv.
Fleshment,n.
Fleshmonger,n.
Fleshpot,n.
Fleshquake,n.
Fleshy,superl.
Flet,p. p.
Fletch,v. t.
Fletched,imp. & p. p.
Fletcher,n.
Fletching,p. pr. & vb. n.
Flete,v. i.
Fletiferous,a.
Fleur-de-lis,n.
Fleurs-de-lis,pl. 
Fleury,a.
Flew,
Flew,imp.
Flewed,a.
Flews,n. pl.
Flex,n.
Flex,v. t.
Flexanimous,a.
Flexed,imp. & p. p.
Flexibility,n.
Flexible,a.
Flexicostate,a.
Flexile,a.
Flexing,p. pr. & vb. n.
Flexion,n.
Flexor,n.
Flexuose,a.
Flexuous,a.
Flexural,a.
Flexure,n.
Flibbergib,n.
Flibbertigibbet,n.
Flibustier,n.
Flick,n.
Flick,v. t.
Flicked,imp. & p. p.
Flicker,n.
Flicker,v. i.
Flickered,imp. & p. p.
Flickering,p. pr. & vb. n.
Flickeringly,adv.
Flickermouse,n.
Flicking,p. pr. & vb. n.
Flidge,a.
Flidge,v. i.
Flier,n.
Flier,v.
Flies,pl. 
Flight,n.
Flight-shot,n.
Flighted,a.
Flighter,n.
Flightily,adv.
Flightiness,n.
Flighty,a.
Flimflam,n.
Flimsily,adv.
Flimsiness,n.
Flimsy,n.
Flimsy,superl.
Flinch,n.
Flinch,v. i.
Flinched,imp. & p. p.
Flincher,n.
Flinching,p. pr. & vb. n.
Flinchingly,adv.
Flindermouse,n.
Flinders,n. pl.
Fling,n.
Fling,v. i.
Fling,v. t.
Flingdust,n.
Flinger,n.
Flinging,p. pr. & vb. n.
Flint glass,
Flint,n.
Flint-hearted,a.
Flintiness,n.
Flintlock,n.
Flintware,n.
Flintwood,n.
Flinty,superl.
Flip,n.
Flip,v. t.
Flip-flap,adv.
Flip-flap,n.
Flipe,v. t.
Flippancy,n.
Flippant,a.
Flippant,n.
Flippantly,adv.
Flippantness,n.
Flipped,imp. & p. p.
Flipper,n.
Flipping,p. pr. & vb. n.
Flirt,a.
Flirt,n.
Flirt,v. i.
Flirt,v. t.
Flirt-gill,n.
Flirtation,n.
Flirted,imp. & p. p.
Flirtigig,n.
Flirting,p. pr. & vb. n.
Flirtingly,adv.
Flisk,n.
Flisk,v. i.
Flit,a.
Flit,v. i.
Flitch,n.
Flitches,pl. 
Flite,v. i.
Flitted,imp. & p. p.
Flitter,v. i.
Flitter,v. t.
Flittermouse,n.
Flittern,a.
Flittiness,n.
Flitting,n.
Flitting,p. pr. & vb. n.
Flittingly,adv.
Flitty,a.
Flix,n.
Flo,n.
Float,n.
Float,v. i.
Float,v. t.
Floatable,a.
Floatage,n.
Floatation,n.
Floated,imp. & p. p.
Floater,n.
Floatiersman,n.
Floating,a.
Floating,n.
Floating,p. pr. & vb. n.
Floatingly,adv.
Floaty,a.
Flobert,n.
Flocci,pl. 
Floccillation,n.
Floccose,n.
Floccular,a.
Flocculate,a.
Flocculate,v. i.
Flocculated,imp. & p. p.
Flocculating,p. pr. & vb. n.
Flocculation,n.
Flocculence,n.
Flocculent,a.
Flocculi,pl. 
Flocculus,n.
Floccus,n.
Flock,n.
Flock,sing. / pl.
Flock,v. i.
Flock,v. t.
Flocked,imp. & p. p.
Flocking,p. pr. & vb. n.
Flockling,n.
Flockly,adv.
Flockmel,adv.
Flocky,a.
Floe,n.
Flog,v. t.
Flogged,imp. & p. p.
Flogger,n.
Flogging,a. & n.
Flogging,p. pr. & vb. n.
Flon,n. pl.
Flon,pl. 
Flong,
Flood,v. i.
Flood,v. t.
Floodage,n.
Flooded,imp. & p. p.
Flooder,n.
Flooding,n.
Flooding,p. pr. & vb. n.
Flook,n.
Flookan,n.
Flooky,a.
Floor,n.
Floor,v. t.
Floorage,n.
Floored,imp. & p. p.
Floorer,n.
Floorheads,n. pl.
Flooring,n.
Flooring,p. pr. & vb. n.
Floorless,a.
Floorwalker,n.
Flop,n.
Flop,v. i.
Flop,v. t.
Flopped,imp. & p. p.
Flopping,p. pr. & vb. n.
Floppy,n.
Flopwing,n.
Flora,n.
Floral,a.
Florally,adv.
Floramour,n.
Floran,n.
Floreal,n.
Floren,n.
Florence,n.
Florentine,a.
Florentine,n.
Florescence,n.
Florescent,a.
Floret,n.
Floriage,n.
Floriated,a.
Floricomous,a.
Floricultural,a.
Floriculture,n.
Floriculturist,n.
Florid,a.
Florida bean,
